# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "Parent" "-a" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_h_ctg.anno.gff3" "-G" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_h_ctg.fa" "-o" "Pst_104E_v12_h_ctg.in_house.STAR.featureCounts.txt" "-p" "GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam	IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam	UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam
evm.model.hcontig_049_206.3	hcontig_049_206;hcontig_049_206	15838;17690	17550;17770	+;+	1794	31	48	51	11	41	29	0	0	0	37	47	32	267	489	219	67	41	57
evm.model.hcontig_049_206.4	hcontig_049_206	18257	18547	+	291	11	22	22	18	38	17	0	0	0	17	20	17	111	207	69	23	16	22
evm.model.hcontig_020_215.2	hcontig_020_215;hcontig_020_215;hcontig_020_215;hcontig_020_215;hcontig_020_215;hcontig_020_215	9552;9666;9868;10459;10601;10915	9596;9784;10365;10526;10802;11098	+;+;+;+;+;+	1116	7437	7918	8100	801	2232	833	0	2	0	899	1130	952	2861	10235	5041	4924	3097	4287
evm.model.hcontig_020_215.1	hcontig_020_215	1384	2856	-	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_057_232.2	hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232;hcontig_057_232	6753;6867;7082;7208;7299;7524;7777;7927;8650;8952;9202;9497	6761;7010;7136;7237;7412;7692;7837;8580;8868;9127;9419;9597	+;+;+;+;+;+;+;+;+;+;+;+	1950	44	28	45	5	23	13	0	0	0	16	27	25	133	395	165	80	62	82
evm.model.hcontig_057_232.4	hcontig_057_232;hcontig_057_232;hcontig_057_232	13425;13580;13781	13501;13693;14123	-;-;-	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.9	hcontig_034_158	48486	49124	-	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.3	hcontig_034_158;hcontig_034_158;hcontig_034_158;hcontig_034_158;hcontig_034_158	19569;19898;20237;20657;20798	19801;20174;20595;20736;21189	-;-;-;-;-	1341	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.4	hcontig_034_158;hcontig_034_158	28671;28979	28913;29128	+;+	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.5	hcontig_034_158;hcontig_034_158	29353;29663	29594;30005	+;+	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.7	hcontig_034_158;hcontig_034_158;hcontig_034_158;hcontig_034_158	41010;41237;41402;41825	41168;41326;41758;41911	-;-;-;-	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.12	hcontig_034_158	56870	57325	-	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.2	hcontig_034_158;hcontig_034_158	16626;17075	16988;17173	-;-	462	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.6	hcontig_034_158;hcontig_034_158	39071;39565	39475;39855	-;-	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.10	hcontig_034_158;hcontig_034_158	49758;49979	49897;50042	-;-	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_034_158.11	hcontig_034_158;hcontig_034_158;hcontig_034_158;hcontig_034_158;hcontig_034_158	52165;52344;52680;53013;53802	52276;52591;52929;53656;54356	+;+;+;+;+	1809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_031_159.3	hcontig_031_159;hcontig_031_159	10371;10930	10860;11321	+;+	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
evm.model.hcontig_031_159.7	hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159	31986;32191;33338;33504;33695;33864;34219;34402;34610	32113;33235;33424;33580;33775;34137;34328;34499;35154	+;+;+;+;+;+;+;+;+	2445	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
evm.model.hcontig_031_159.9	hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159	42277;42607;43031;43204	42538;42965;43141;43554	-;-;-;-	1083	3427	3351	4129	305	702	224	0	0	0	109	196	99	909	2794	910	1419	1175	1345
evm.model.hcontig_031_159.8	hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159	37696;39487;40199;41324	39406;40109;41241;41357	-;-;-;-	3411	1538	1351	1633	127	387	177	0	0	1	76	159	59	563	2222	1041	709	691	670
evm.model.hcontig_031_159.10	hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159	46719;48087;48803;49052;49279	48021;48733;48979;49205;49433	-;-;-;-;-	2436	983	828	939	121	291	119	0	0	0	384	127	345	821	4493	2800	265	187	248
evm.model.hcontig_031_159.11	hcontig_031_159;hcontig_031_159;hcontig_031_159	49606;50576;51656	50489;51527;52009	+;+;+	2190	547	503	514	59	152	71	1	0	0	93	76	70	393	1216	651	202	125	180
evm.model.hcontig_031_159.4	hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159	21418;21666;21844;22040;22375;22559;22702;22932;23207	21581;21763;21953;22304;22455;22635;22788;23121;23340	-;-;-;-;-;-;-;-;-	1206	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
evm.model.hcontig_031_159.15	hcontig_031_159	57974	58300	+	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_031_159.2	hcontig_031_159;hcontig_031_159;hcontig_031_159;hcontig_031_159	3609;3955;4281;4780	3879;4205;4602;5198	+;+;+;+	1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_031_159.1	hcontig_031_159;hcontig_031_159	2821;2925	2836;3544	+;+	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_017_160.11	hcontig_017_160;hcontig_017_160;hcontig_017_160	46188;46297;46506	46224;46422;46609	+;+;+	267	882	839	957	181	609	184	0	0	0	105	193	99	469	1490	606	927	1047	780
evm.model.hcontig_017_160.13	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	47931;48175;48651;48799	48114;48533;48734;48885	+;+;+;+	714	90	62	91	1	6	0	0	0	0	3	6	7	30	189	85	29	15	27
evm.model.hcontig_017_160.18	hcontig_017_160	55146	55775	-	630	297	271	316	55	218	44	0	0	0	12	29	9	167	462	208	79	77	93
evm.model.hcontig_017_160.14	hcontig_017_160	49230	50096	+	867	104	79	94	6	6	4	0	0	0	8	7	5	34	192	104	28	30	29
evm.model.hcontig_017_160.16	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	52478;52815;53023;53182	52690;52885;53077;53265	-;-;-;-	423	2114	1749	1923	228	419	151	0	1	0	37	51	20	380	549	161	1512	1831	1500
evm.model.hcontig_017_160.17	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	53343;53491;53684;53853;54102;54234	53416;53600;53784;54027;54152;54295	-;-;-;-;-;-	573	2699	1943	2586	49	136	37	0	0	1	26	88	36	531	683	240	1992	2487	1994
evm.model.hcontig_017_160.10	hcontig_017_160	41439	42134	+	696	2	2	0	26	71	32	0	0	0	16	10	7	19	54	41	1	1	3
evm.model.hcontig_017_160.12	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	46612;46714;46876;47245	46648;46790;47159;47353	+;+;+;+	507	1300	1390	1435	931	2597	743	0	0	1	171	248	170	617	2387	951	1517	1781	1321
evm.model.hcontig_017_160.15	hcontig_017_160;hcontig_017_160	50422;50684	50500;51063	+;+	459	71	54	95	6	30	10	0	0	0	7	6	2	23	124	56	18	22	22
evm.model.hcontig_017_160.9	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	37414;37637;37935;38075;38375	37558;37864;37981;38297;38688	+;+;+;+;+	957	1089	1010	1179	181	537	146	0	0	0	47	87	46	298	894	327	792	849	676
evm.model.hcontig_017_160.7	hcontig_017_160;hcontig_017_160;hcontig_017_160	34232;34521;34738	34346;34606;34779	+;+;+	243	0	1	1	12	24	8	0	0	0	1	0	1	2	14	7	0	0	0
evm.model.hcontig_017_160.2	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	5492;6701;7388;8839	6584;7283;8752;9379	-;-;-;-	3582	1733	1706	1862	470	1362	435	0	0	0	214	177	241	762	3964	2660	471	350	519
evm.model.hcontig_017_160.3	hcontig_017_160;hcontig_017_160	20273;20422	20336;21560	+;+	1203	615	695	617	103	235	116	0	0	0	48	70	38	262	532	247	401	277	367
evm.model.hcontig_017_160.1	hcontig_017_160;hcontig_017_160	178;380	255;1102	-;-	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_017_160.4	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	21919;22142;22230;23190;23361;23560;23719;23964;24241;24476;24639;24935	21956;22146;23056;23250;23463;23640;23891;24140;24405;24539;24794;25136	+;+;+;+;+;+;+;+;+;+;+;+	2052	633	521	639	33	50	25	0	0	1	89	141	96	416	1085	513	199	161	231
evm.model.hcontig_017_160.5	hcontig_017_160;hcontig_017_160;hcontig_017_160;hcontig_017_160	25711;26499;26635;27459	26380;26547;27363;27822	-;-;-;-	1812	1930	1748	2295	147	383	144	0	0	0	86	164	92	515	1641	819	961	861	859
evm.model.hcontig_017_160.8	hcontig_017_160	36386	37246	+	861	1336	1108	1610	39	107	30	0	0	1	62	97	65	386	1384	578	880	902	806
evm.model.hcontig_037_161.4	hcontig_037_161;hcontig_037_161	32640;33008	32918;33652	-;-	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_037_161.5	hcontig_037_161;hcontig_037_161;hcontig_037_161	41968;42611;43444	42543;43362;43507	-;-;-	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_037_161.7	hcontig_037_161	50344	50799	-	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_037_161.1	hcontig_037_161;hcontig_037_161;hcontig_037_161	12907;13155;13317	13050;13228;14331	-;-;-	1233	375	322	409	132	303	139	0	0	0	269	136	209	574	3105	1529	59	47	65
evm.model.hcontig_037_161.3	hcontig_037_161;hcontig_037_161;hcontig_037_161;hcontig_037_161;hcontig_037_161	24553;24657;24804;24990;25113	24587;24728;24902;25043;25254	-;-;-;-;-	402	0	0	0	12	62	5	0	0	0	0	0	0	21	42	2	0	1	0
evm.model.hcontig_037_161.2	hcontig_037_161;hcontig_037_161;hcontig_037_161;hcontig_037_161	15172;15763;16428;16531	15667;16325;16461;16544	-;-;-;-	1107	641	624	679	258	584	225	0	0	0	64	92	57	357	1142	430	389	343	363
evm.model.hcontig_037_161.6	hcontig_037_161;hcontig_037_161;hcontig_037_161;hcontig_037_161;hcontig_037_161	45634;45814;46150;46475;47276	45745;46061;46399;47130;47830	+;+;+;+;+	1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_042_162.8	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	23921;24105;24388;24681	23966;24288;24616;24737	-;-;-;-	516	1003	967	1050	328	744	320	0	0	0	125	108	118	1063	2169	570	192	168	213
evm.model.hcontig_042_162.9	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	25302;27024;27290;28653;28890;29241;29515;29876;30661	26954;27213;28589;28817;29165;29445;29816;30591;30740	-;-;-;-;-;-;-;-;-	4887	2068	1835	2019	193	574	211	0	0	0	69	164	64	869	2649	956	770	712	683
evm.model.hcontig_042_162.6	hcontig_042_162	15175	16521	-	1347	952	1050	1226	8	35	7	0	0	0	46	74	42	392	1142	223	472	475	604
evm.model.hcontig_042_162.4	hcontig_042_162	11190	11885	-	696	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0
evm.model.hcontig_042_162.5	hcontig_042_162;hcontig_042_162	12267;12830	12752;13264	-;-	921	0	0	0	0	1	0	0	0	0	0	0	0	1	4	2	0	0	0
evm.model.hcontig_042_162.2	hcontig_042_162;hcontig_042_162	2701;2968	2899;3176	+;+	408	1	2	1	99	198	14	0	0	0	0	0	0	2	1203	163	0	1	0
evm.model.hcontig_042_162.3	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	9012;9192;9927;10190;10594	9113;9853;10116;10507;10641	-;-;-;-;-	1320	29	14	23	0	2	1	0	0	0	3	1	0	12	47	22	5	5	8
evm.model.hcontig_042_162.1	hcontig_042_162;hcontig_042_162	32;400	287;1319	+;+	1176	707	699	738	91	237	110	0	1	0	29	34	23	165	596	221	364	331	349
evm.model.hcontig_042_162.14	hcontig_042_162;hcontig_042_162	43272;43929	43767;44101	+;+	669	4	7	6	6	7	7	0	0	0	2	0	5	4	265	137	19	14	17
evm.model.hcontig_042_162.15	hcontig_042_162;hcontig_042_162	46368;47016	46881;47194	+;+	693	39	43	41	7	16	9	0	0	0	5	1	3	38	1184	408	28	25	36
evm.model.hcontig_042_162.16	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	51503;51758;51936;52270;52380	51687;51860;52194;52306;52419	-;-;-;-;-	624	207666	288728	240282	65	1622	1455	4	1	17	15	14	15	12	1	10	113357	89937	97424
evm.model.hcontig_042_162.10	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	31029;31192;31381;31580;31895;32294	31105;31286;31487;31801;32216;32328	-;-;-;-;-;-	858	809	693	846	287	601	251	0	0	0	95	118	61	486	1106	468	369	285	340
evm.model.hcontig_042_162.11	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	33436;33793;33996;34443;35225	33721;33923;34322;35107;35231	-;-;-;-;-	1416	813	736	813	202	461	182	0	0	0	180	142	141	636	2129	911	290	219	327
evm.model.hcontig_042_162.12	hcontig_042_162;hcontig_042_162;hcontig_042_162;hcontig_042_162	35443;35620;35724;35910	35523;35631;35818;36723	+;+;+;+	1002	1083	1041	1058	85	341	99	0	0	0	122	152	125	464	1605	676	427	369	438
evm.model.hcontig_042_162.13	hcontig_042_162;hcontig_042_162;hcontig_042_162	39302;39566;39717	39493;39581;40009	+;+;+	501	364	418	433	30	76	34	0	0	0	18	0	26	306	1036	331	185	121	143
evm.model.hcontig_083_167.3	hcontig_083_167	6594	7367	-	774	16	24	19	22	29	12	0	0	0	28	15	20	80	274	106	26	21	29
evm.model.hcontig_083_167.6	hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167	29956;31516;31713;32715;34273;34486;35052	31437;31602;32634;34193;34408;34928;35074	-;-;-;-;-;-;-	4572	195	154	187	7	34	4	0	0	0	18	27	8	56	302	106	53	46	71
evm.model.hcontig_083_167.7	hcontig_083_167;hcontig_083_167;hcontig_083_167	40890;41338;41505	41241;41426;41549	+;+;+	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_083_167.4	hcontig_083_167;hcontig_083_167	7445;7872	7746;7914	-;-	345	3	9	6	4	4	1	0	0	0	8	11	9	19	101	59	5	8	10
evm.model.hcontig_083_167.5	hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167;hcontig_083_167	11267;11566;11946;12161;12473;12693;13224;13605;13751;13894;14506	11368;11810;12072;12277;12485;13124;13507;13658;13827;14431;14547	+;+;+;+;+;+;+;+;+;+;+	2031	9	13	18	1	9	1	0	0	0	0	0	0	721	633	1	12	13	11
evm.model.hcontig_042_168.14	hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168	38866;39087;39246;39497;39714;40272;40665	39010;39152;39404;39649;40172;40598;41437	+;+;+;+;+;+;+	2082	1088	921	1317	2	8	0	0	0	0	117	147	110	773	6560	2293	453	322	369
evm.model.hcontig_042_168.12	hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168;hcontig_042_168	34530;34687;35083;35274;35402;35531;35618;36082;36268;36481;36609;36776;37093	34596;35009;35197;35340;35459;35552;36004;36202;36416;36547;36712;37021;37151	-;-;-;-;-;-;-;-;-;-;-;-;-	1785	1289	1271	1462	308	855	313	0	0	0	116	237	101	901	2405	728	440	284	409
evm.model.hcontig_042_168.15	hcontig_042_168	41500	41835	+	336	266	215	310	0	4	0	0	0	0	25	24	20	165	1416	504	99	69	75
evm.model.hcontig_042_168.13	hcontig_042_168;hcontig_042_168	37391;37848	37783;37955	-;-	501	384	335	422	14	35	14	0	1	0	27	74	28	265	644	195	134	97	116
