# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "Parent" "-a" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_p_ctg.anno.gff3" "-G" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_p_ctg.fa" "-o" "Pst_104E_v12_p_ctg.in_house_IDParent.STAR.featureCounts.txt" "-p" "GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam	IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam	UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam
evm.model.pcontig_166.10	pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166	40995;41144;41877;42204;42443;42650;42816;42993;43415;43783;43973;44164;44354;44522;44692;44976	41048;41814;42118;42373;42572;42742;42926;43204;43703;43871;44077;44281;44463;44599;44886;45089	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2781	2	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0
evm.model.pcontig_166.5	pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166	23173;24212;24425;24702;25186	24130;24356;24624;25112;25226	-;-;-;-;-	1755	10	10	8	38	96	33	0	0	0	2	0	1	65	97	18	10	3	15
evm.model.pcontig_166.6	pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166	26687;27174;29575;30233;30454;30790	27104;29496;30168;30387;30589;30799	-;-;-;-;-;-	3636	2683	2338	3040	29	126	63	0	0	0	45	90	49	254	1233	624	941	628	839
evm.model.pcontig_166.3	pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166	17214;17505;18599;19001;19309	17405;18487;18911;19228;19371	-;-;-;-;-	1779	656	612	757	79	176	50	0	0	0	96	153	110	439	1264	561	594	364	481
evm.model.pcontig_166.4	pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166	20842;21087;21402;21675;21898;22173	21018;21312;21601;21765;22045;22317	+;+;+;+;+;+	987	717	646	824	24	49	25	0	0	0	28	40	22	136	349	141	452	358	412
evm.model.pcontig_166.7	pcontig_166;pcontig_166;pcontig_166;pcontig_166	32875;33007;33286;33413	32899;33196;33338;33456	-;-;-;-	312	4	3	1	1	2	0	0	0	0	0	0	0	0	2	1	3	6	6
evm.model.pcontig_166.8	pcontig_166;pcontig_166;pcontig_166;pcontig_166	33483;34068;34354;34587	33969;34243;34487;34686	-;-;-;-	897	85	81	91	1	13	3	0	0	0	4	11	7	41	101	49	97	106	82
evm.model.pcontig_189.2	pcontig_189;pcontig_189;pcontig_189;pcontig_189	6133;6435;6609;6698	6360;6536;6622;6821	+;+;+;+	468	6	3	3	2	2	2	0	0	0	0	2	0	2	5	0	2	1	1
evm.model.pcontig_189.3	pcontig_189;pcontig_189	7538;7975	7903;8082	-;-	474	99	120	117	11	37	14	0	0	0	8	8	8	34	113	54	45	28	33
evm.model.pcontig_189.4	pcontig_189;pcontig_189;pcontig_189;pcontig_189;pcontig_189	8259;9060;9236;9514;9699	8990;9163;9412;9621;9780	-;-;-;-;-	1203	80	83	68	2	12	0	0	0	0	6	7	4	31	98	49	21	15	32
evm.model.pcontig_189.5	pcontig_189;pcontig_189;pcontig_189;pcontig_189	12697;12807;13613;15912	12723;13533;15841;16939	+;+;+;+	4011	171	177	178	7	21	8	0	0	0	53	68	37	278	1129	478	165	107	144
evm.model.pcontig_189.6	pcontig_189;pcontig_189;pcontig_189;pcontig_189;pcontig_189;pcontig_189;pcontig_189	18769;19522;19880;21884;22567;24373;24893	19410;19792;21805;22475;24149;24801;24912	-;-;-;-;-;-;-	5463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_189.7	pcontig_189;pcontig_189;pcontig_189;pcontig_189;pcontig_189	26709;26947;27145;27337;27488	26865;27036;27261;27414;27531	+;+;+;+;+	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_189.1	pcontig_189;pcontig_189;pcontig_189	4102;4267;4385	4196;4306;4759	-;-;-	510	55	42	51	0	5	0	0	0	1	2	7	2	28	53	15	31	26	26
evm.model.pcontig_189.8	pcontig_189;pcontig_189	30029;30139	30062;30296	-;-	192	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
evm.model.pcontig_129.3	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	8319;8450;9118;10109;10478	8379;9046;10034;10401;10751	+;+;+;+;+	2142	389	324	416	1	6	7	0	0	0	12	5	16	123	364	212	267	243	262
evm.model.pcontig_129.2	pcontig_129	6827	7357	+	531	0	0	0	14	40	11	0	0	0	0	0	0	0	2	3	0	0	0
evm.model.pcontig_129.6	pcontig_129	17321	17722	-	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.5	pcontig_129	15260	15517	+	258	2	11	7	4	27	4	0	0	0	0	0	1	2	14	10	2	0	1
evm.model.pcontig_129.15	pcontig_129	44111	44767	+	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.17	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	46845;47229;47383;47756;48434	47112;47290;47653;48329;48527	+;+;+;+;+	1269	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
evm.model.pcontig_129.24	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	79874;80137;80369;80516;80639;80916;81054;81151;81257;81467;81679;81783;82066;82481	80062;80296;80444;80558;80812;80993;81083;81160;81392;81612;81711;81968;82382;82678	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.16	pcontig_129;pcontig_129	45047;45246	45163;46808	+;+	1680	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.10	pcontig_129;pcontig_129;pcontig_129	26620;26971;27131	26839;27054;27438	+;+;+	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.11	pcontig_129;pcontig_129;pcontig_129;pcontig_129	29517;29663;29913;30148	29588;29828;30071;30518	-;-;-;-	768	4	3	12	0	3	0	0	0	0	1	0	0	1	21	13	3	6	3
evm.model.pcontig_129.12	pcontig_129;pcontig_129	30572;31554	31484;32749	-;-	2109	21	7	16	0	1	0	0	0	0	2	3	0	8	80	43	17	16	14
evm.model.pcontig_129.13	pcontig_129;pcontig_129	32977;33438	33343;33718	-;-	648	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
evm.model.pcontig_129.14	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	35450;35986;36140;36681;37605;38030;39683;40160;40699	35917;36067;36612;37531;37946;39607;40097;40590;40870	-;-;-;-;-;-;-;-;-	4812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.18	pcontig_129;pcontig_129	49442;49725	49654;49841	+;+	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.19	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	51117;51384;51820;52698;53899;54194	51315;51749;52635;53587;54118;54483	+;+;+;+;+;+	2781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.4	pcontig_129	12159	14669	-	2511	0	0	0	81	162	76	0	0	0	12	2	8	10	122	141	0	0	0
evm.model.pcontig_129.8	pcontig_129;pcontig_129;pcontig_129	22269;22620;22885	22546;22823;23059	-;-;-	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.9	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	24294;24401;24801;24922;25170	24322;24736;24848;25098;25479	-;-;-;-;-	900	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_129.20	pcontig_129;pcontig_129;pcontig_129	66808;67019;67156	66948;67084;67542	+;+;+	594	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
evm.model.pcontig_129.23	pcontig_129;pcontig_129	79146;79321	79254;79466	-;-	255	3	7	6	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
evm.model.pcontig_129.25	pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129;pcontig_129	83974;84246;84486;84634;84745;85015;85155;85254;85362;85572;85784;85885;86166	84165;84405;84561;84676;84918;85092;85184;85263;85497;85717;85816;86070;86515	-;-;-;-;-;-;-;-;-;-;-;-;-	1614	0	0	2	9	15	2	0	0	0	1	0	0	2	33	14	0	0	0
evm.model.pcontig_147.2	pcontig_147;pcontig_147;pcontig_147	1907;2097;2485	2025;2380;2651	-;-;-	570	3	5	4	11	12	23	0	0	0	10	1	10	13	1331	637	3	3	5
evm.model.pcontig_147.1	pcontig_147	215	1204	+	990	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
evm.model.pcontig_147.5	pcontig_147;pcontig_147;pcontig_147;pcontig_147	17547;17687;17967;19668	17594;17886;19582;19972	-;-;-;-	2169	811	807	905	102	294	116	0	0	0	87	168	84	519	1720	684	287	302	336
evm.model.pcontig_147.3	pcontig_147;pcontig_147;pcontig_147	5100;5966;6334	5864;6221;6503	-;-;-	1191	1	2	2	24	65	18	0	0	0	6	23	11	79	184	60	0	0	1
evm.model.pcontig_147.7	pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147	29480;29667;30068;30696;30926;31148;35866	29552;29996;30620;30835;31052;35798;36192	-;-;-;-;-;-;-	6201	2589	2224	3111	285	784	263	0	0	0	188	280	181	1267	5284	2081	941	839	994
evm.model.pcontig_147.4	pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147	11898;12139;12755;13118;13283;13538;13748;14246;14480	12040;12660;13016;13188;13411;13657;14153;14395;14662	-;-;-;-;-;-;-;-;-	1986	1	2	4	2	7	2	0	0	0	6	16	11	93	116	115	0	0	1
evm.model.pcontig_147.11	pcontig_147	52986	53213	-	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_147.12	pcontig_147;pcontig_147	54202;54823	54610;55403	+;+	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_147.18	pcontig_147;pcontig_147;pcontig_147	67871;68089;68224	68013;68157;68280	+;+;+	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_147.10	pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147	50067;50303;50510;50738;50944	50228;50451;50574;50874;51705	+;+;+;+;+	1275	15309	15328	16783	11	77	72	0	0	2	30	239	46	973	1273	313	5830	4619	5232
evm.model.pcontig_147.16	pcontig_147	60215	60637	-	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_147.17	pcontig_147;pcontig_147;pcontig_147	65810;65942;66142	65872;66065;66833	+;+;+	879	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0
evm.model.pcontig_147.9	pcontig_147;pcontig_147	43711;43909	43819;44003	-;-	204	0	0	0	7	2	0	0	0	0	0	0	0	0	0	2	0	0	0
evm.model.pcontig_147.6	pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147;pcontig_147	20222;21132;21806;22395;25355;25532;25707;25878;26207;26882;27212;27751;28024;28363	21019;21675;22324;25263;25467;25620;25800;26117;26805;27142;27648;27915;28220;28415	+;+;+;+;+;+;+;+;+;+;+;+;+;+	6978	682	633	796	63	224	80	0	0	0	47	73	42	280	1393	620	283	211	289
evm.model.pcontig_148.3	pcontig_148	5899	6909	-	1011	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	1	1	0
evm.model.pcontig_148.10	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	26359;26481;26806;27279;27918;28166;28346;29188	26404;26664;27161;27846;28086;28249;28980;29476	-;-;-;-;-;-;-;-	2331	376	362	449	65	120	54	0	0	0	50	70	32	211	684	337	111	112	132
evm.model.pcontig_148.16	pcontig_148	56616	57230	-	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_148.18	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	67003;67262;67660;68042;68403	67172;67556;67928;68319;68509	-;-;-;-;-	1119	0	1	0	1	3	0	0	0	0	0	0	0	2	0	1	0	0	2
evm.model.pcontig_148.11	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	30629;30747;30952;31188;31374	30657;30842;31062;31277;31560	-;-;-;-;-	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_148.13	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	37177;37636;38039;38370;38576;38685;38821;39018	37527;37920;38255;38456;38614;38723;38944;39210	-;-;-;-;-;-;-;-	1335	170	246	267	22	18	9	0	0	0	19	29	14	177	400	153	90	52	75
evm.model.pcontig_148.15	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	52544;53032;53679;54070;54306	52966;53609;54007;54232;54720	-;-;-;-;-	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_148.14	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	49132;49399;49744;50179;50401;50833	49329;49680;50115;50337;50742;51264	+;+;+;+;+;+	1785	0	0	1	3	4	1	0	0	0	3	0	1	6	18	16	1	0	0
evm.model.pcontig_148.17	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	59751;59989;60444;60865;61749;62029;62515;62795;63396;63779;64241;64436;64666;64891;65111;65402;65721;66133	59921;60201;60790;61670;61927;62425;62693;63289;63654;64178;64332;64593;64755;65012;65261;65608;65966;66345	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4725	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1
evm.model.pcontig_148.12	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	32742;33844;34087;35204;36015	33764;34002;35103;35925;36192	-;-;-;-;-	3099	2478	2316	2632	146	470	155	0	0	0	176	368	144	859	3816	1672	1496	1470	1411
evm.model.pcontig_148.1	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	49;249;473;630;918;1601;2079;2324;2690;2970;3135;3277	165;379;554;848;1521;1997;2241;2610;2901;3039;3207;3486	-;-;-;-;-;-;-;-;-;-;-;-	2565	222	200	224	19	59	26	0	0	0	54	165	46	352	1010	471	120	115	146
evm.model.pcontig_148.2	pcontig_148;pcontig_148;pcontig_148;pcontig_148	4181;4338;4555;4662	4213;4474;4576;4853	-;-;-;-	384	789	933	850	1105	2614	885	0	0	0	279	438	252	917	3774	1595	927	978	842
evm.model.pcontig_148.4	pcontig_148;pcontig_148	8654;8758	8679;9340	-;-	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_148.9	pcontig_148;pcontig_148;pcontig_148	24171;24709;24985	24629;24906;25011	-;-;-	684	33	40	44	28	92	47	0	0	0	1	2	1	12	21	8	55	11	16
evm.model.pcontig_148.8	pcontig_148;pcontig_148;pcontig_148;pcontig_148;pcontig_148	20596;21307;21662;21996;22124	21223;21587;21932;22049;22830	+;+;+;+;+	1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_095.39	pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095	166378;166698;166925;167107;167422;167684	166590;166835;167031;167291;167572;167786	-;-;-;-;-;-	897	0	0	0	1065	976	338	0	0	0	71	0	91	19	172	378	0	0	0
evm.model.pcontig_095.35	pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095	145638;145813;146319;146502;146697;146927;147037;147753	145711;146202;146380;146599;146806;146949;147666;147844	-;-;-;-;-;-;-;-	1479	2155	2082	2042	390	1023	382	0	0	0	281	606	227	1188	3315	1601	882	813	768
evm.model.pcontig_095.32	pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095	124109;124370;124742;124979;125137	124286;124644;124857;125068;125155	-;-;-;-;-	678	3477	3006	3160	208	1021	320	0	1	0	724	894	656	2581	8590	3521	2004	1470	1722
evm.model.pcontig_095.33	pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095	130492;130730;130924;131139;131440	130640;130843;131061;131339;131569	-;-;-;-;-	732	1681	1435	1726	243	586	234	0	0	0	212	271	190	752	2203	902	907	539	754
evm.model.pcontig_095.36	pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095;pcontig_095	154839;155107;155291;155385;155531;155687;156257;156447	155009;155217;155317;155454;155596;156153;156360;156618	+;+;+;+;+;+;+;+	1188	25	57	93	849	1490	606	0	0	0	588	792	599	812	10536	5811	1	4	2
evm.model.pcontig_095.34	pcontig_095;pcontig_095	134595;135018	134822;135317	-;-	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
